original_address,lat,lon,formatted,district,street,name,suburb,state,postcode,city,county,country,confidence_street_level,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Vardenlia, Norway",59.1246653,10.2583959,"Vardenlia, 3227 Sandefjord, Norway",,Vardenlia,Vardenlia,Kamfjord,,3227,Sandefjord,Vestfold,Norway,,no,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vassdal, Norway",66.1846581,13.309527,"Vassdal (Vassdal), Norway",,,Vassdal,,,,Vassdal,Nordland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vassdalsvik, Meløy, Norway",66.80779580000001,13.56632085,"Vassdalsvik, Meløy, Nordland, Norway",,,Vassdalsvik,,,,Meløy,Nordland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vatnali Fjellstue, Norway",61.471877,9.44989,"Ruten Fjellstue, Sor-Fron, Norway",,Ruten Fjellstue,,,Innlandet,,Sor-Fron,Innlandet,Norway,,no,0.6260869565217392,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ved Hessdalen, Norway",62.7906663,11.1811975776322,"Hessdalen kirke, Hessdalsvegen, Engesvollen, Norway",,Hessdalsvegen,Hessdalen kirke,Hessdalen,Trøndelag,,Engesvollen,Trøndelag,Norway,,no,0.63,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vefsn, Norway",65.82074705,13.178635557364167,"Vefsn, Norway",,,,,,,Vefsn,Nordland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Veggli i Numedal, Norway",60.04093,9.15642,"Rollag (Veggli), Viken, Norway",Rollag,,,,Viken,,Veggli,,Norway,,no,0.33333333333333337,0.33333333333333337,,,https://www.whosonfirst.org/docs/licenses/
"Veitvedt, Norway",,,,,,,,,,,,,,,,,,,
"Vennesla, Norway",58.33986185,7.770790282061096,"Vennesla, Norway",,,,,,,Vennesla,Agder,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vesleheim Ranheim, Norway",,,,,,,,,,,,,,,,,,,
"Vest-Torpa, Norway",60.9217876,10.07124,"Vest-Torpa, Nordre Land, Norway",,,Vest-Torpa,Vest-Torpa,,,Nordre Land,Innlandet,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestby, Norway",59.559856249999996,10.711865345334502,"Vestby, Norway",,,,,,,Vestby,Akershus,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vesterålen, Norway",68.7531551,14.6785866,"Vesterålen, Bø, Nordland, Norway",,,Vesterålen,,,,Bø,Nordland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestfossen, Norway",59.7336724,9.8673197,"3320 Vestfossen (Vestfossen), Norway",,,Vestfossen,,,3320,Vestfossen,Buskerud,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestlandsheimen, Arna, Norway",60.4945,5.37805,"Vestlandsheimen, Bergen, Vestland, Norway",,,Vestlandsheimen,,Vestland,,Bergen,,Norway,,no,0,,,CC BY 4.0,https://www.geonames.org/datasources/
"Vestli, Oslo, Norway",59.971412,10.927555,"Vestli, Oslo, Norway",,,Vestli,Vestli,,0969,Oslo,,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestnes i Romsdal, Norway",62.619395,7.090291,"Vestnes (Vestnes), Møre and Romsdal, Norway",Vestnes,,,,Møre and Romsdal,,Vestnes,,Norway,,no,0.33333333333333337,0.33333333333333337,,,https://www.whosonfirst.org/docs/licenses/
"Vestnes, Norway",62.56819005,7.11060774159323,"Vestnes, Norway",,,,,,,Vestnes,Møre og Romsdal,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestra Lomtjern, Norway",68.3430111,16.3111139,"Lomtjern, Narvik, Norway",Lomtjern,,Lomtjern,,,,Narvik,Nordland,Norway,,no,0.25,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestre Gausdal, Norway",61.2862475,9.9860227,"Vestre Gausdal, Innlandet, Norway",,,Vestre Gausdal,,,,,Innlandet,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vestskogen, Nøtterøy, Norway",59.242954100000006,10.395126829218107,"Hundremeterskogen barnehage, Nøtterøy, Lerkeveien, 3142 Tandstad, Norway",,Lerkeveien,"Hundremeterskogen barnehage, Nøtterøy",Vestskogen,,3142,Tandstad,Vestfold,Norway,,no,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vik 4890 Grimstad, Norway",58.3662189,8.6250393,"Vik, 4885 Grimstad, Norway",,Vik,Vik,,,4885,Grimstad,Agder,Norway,1,no,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vik, Norway",61.034966350000005,6.594105058640873,"Vik, Norway",,,,,,,Vik,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vingesjøvn., Kongsvinger, Norway",60.191611,12.000846,"Kongsvinger (Kongsvinger), Innlandet, Norway",Kongsvinger,,,,Innlandet,,Kongsvinger,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Vingrom, Norway",61.0461223,10.4296109,"Vingrom (Vingrom), Norway",,,Vingrom,,,,Vingrom,Innlandet,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vinje, Norway",59.80713825,7.713770319631215,"Vinje, Norway",,,,,,,Vinje,Telemark,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vinjervn., Tønsberg, Norway",59.384445,10.272586,"Tønsberg, Vestfold og Telemark, Norway",,,,,Vestfold og Telemark,,Tønsberg,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Vinstra, Norway",61.5964906,9.7361913,"2640 Vinstra, Norway",,,Vinstra,,,2640,Vinstra,Innlandet,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vivelstad kirke, Norway",63.429888500000004,10.376308,"Ilen kirke, Kongens gate, 7017 Trondheim, Norway",Trondheim,Kongens gate,Ilen kirke,Midtbyen,Trøndelag,7017,Trondheim,Trøndelag,Norway,,no,0.5142857142857142,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vivestadåsen, Norway",59.436,10.178073,"Vivestadåsen, Tønsberg, Norway",,Vivestadåsen,Vivestadåsen,Skotvedt østre,,,Tønsberg,Vestfold,Norway,,no,0.3969,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Voldstad, 9056 Mortenhals, Norway",69.4002132,18.5963375,"Mortenhals, 9056 Sand, Norway",,,Mortenhals,Mortenhals,,9056,Sand,Troms,Norway,,no,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vollan, Nordli, Norway",62.9037833,11.2170048,"Vollan, Trøndelag, Norway",,,Vollan,,Trøndelag,,Vollan,Trøndelag,Norway,,no,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vrangsvann i Nissedal, Norway",58.34361,6.28121,"Sokndal (Hauge i Dalane), Rogaland, Norway",Sokndal,,,,Rogaland,,Hauge i Dalane,,Norway,,no,0.08930249999999999,0.35720999999999997,,CC BY 4.0,https://www.geonames.org/datasources/
"Waatvik, Norway",,,,,,,,,,,,,,,,,,,
"Yri, Norway",61.7226706,6.793149,"6791 Yri (Yri), Norway",,,Yri,,,6791,Yri,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Yrkje, Norway",59.398956,5.666442,"Yrkjesvegen, Tysvær, Norway",,Yrkjesvegen,Yrkje,Vikane,,,Tysvær,Rogaland,Norway,,no,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ytre Arna, Norway",60.4587056,5.4390805,"5265 Ytre Arna (Bergen), Norway",,,Ytre Arna,,,5265,Bergen,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ytre Laksevåg, Norway",60.38672,5.29799,"Laksevåg, Bergen, Vestland, Norway",,,Laksevåg,Laksevåg,Vestland,,Bergen,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Ytteråsen, Norway",63.4032615,11.181246,"Ytteråsen (Ytteråsen), Norway",,,Ytteråsen,,,,Ytteråsen,Trøndelag,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
