original_address,lat,lon,formatted,housenumber,name,street,suburb,postcode,county,district,city,state,confidence_street_level,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"1700 Sarpsborg, Norway",59.254955,11.229781140849298,"Sarpsborg, Norway",,,,,,Østfold,,Sarpsborg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1715 Yven, Norway",59.2797972,11.064825,"Yven, 1715 Sarpsborg, Norway",,Yven,,Yven,1715,Østfold,,Sarpsborg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1720 Greåker, Norway",59.2677028,11.466025,"Greåker (Greåker), Norway",,Greåker,,,,Østfold,,Greåker,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1816 Skiptvet, Norway",59.47112894999999,11.151797925103532,"1816 Skiptvet, Norway",,,,,1816,Østfold,,Skiptvet,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1825 Tomter, Norway",59.6608561,10.9995635,"1825 Tomter (Tomter), Norway",,Tomter,,,1825,Østfold,,Tomter,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1900 Fetsund, Norway",59.9274398,11.1620196,"1900 Fetsund (Fetsund), Norway",,Fetsund,,,1900,Akershus,,Fetsund,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1911 Flateby, Norway",59.8292738,11.153367,"1911 Flateby (Flateby), Norway",,Flateby,,,1911,Akershus,,Flateby,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1928 Haga, Norway",60.4328236,11.5803413,"Tonerroa, 2133 Toner, Norway",,Tonerroa,Tonerroa,,2133,Innlandet,,Toner,,,Norway,no,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1932 Finstadbru, Norway",59.9409783,11.4324201,"Finstadbru, 1930 Aurskog-Høland, Norway",,Finstadbru,,Finstadbru,1930,Akershus,,Aurskog-Høland,,,Norway,no,0.3,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1950 Rømskog, Norway",59.7492558,11.8128562,"1950 Rømskog (Rømskog), Norway",,Rømskog,,,1950,Akershus,,Rømskog,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1954 Setskog, Norway",59.828227,11.7200839,"1954 Setskog (Setskog), Norway",,Setskog,,,1954,Akershus,,Setskog,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1960 Løken, Norway",59.7956824,11.4657623,"1960 Løken (Løken), Norway",,Løken,,,1960,Akershus,,Løken,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1990 Skjetten, Norway",59.97185,11.00693,"Lillestrøm (Skjetten), Viken, Norway",,,,,,,Lillestrøm,Skjetten,Viken,,Norway,no,1,1,,,https://www.whosonfirst.org/docs/licenses/
"2 km. nord for Bodø., Norway",,,,,,,,,,,,,,,,,,,,
"2000 Lillestrøm, Norway",59.95571498,11.05995671,"2000 Lillestrøm, Norway",,,,,2000,Akershus,,Lillestrøm,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2006 Løvenstad, Norway",59.936959,11.026377,"Løvenstad, 2006 Rælingen, Norway",,Løvenstad,,Løvenstad,2006,Akershus,,Rælingen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2007 Kjeller, Norway",59.9738693,11.0475937,"2007 Kjeller (Kjeller), Norway",,Kjeller,,,2007,Akershus,,Kjeller,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2008 Fjerdingby, Norway",59.921804,11.0738113,"2008 Fjerdingby (Fjerdingby), Norway",,Fjerdingby,,,2008,Akershus,,Fjerdingby,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2009 Nordby, Norway",59.8674612,11.09335,"2009 Nordby (Fjellstad), Norway",,Nordby,,,2009,Akershus,,Fjellstad,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2010 Strømmen, Norway",59.9484445,11.0100743,"2010 Strømmen (Strømmen), Norway",,Strømmen,,,2010,Akershus,,Strømmen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2020 Skedsmokorset, Norway",60.0045847,11.0327923,"2020 Skedsmokorset (Skedsmokorset), Norway",,Skedsmokorset,,,2020,Akershus,,Skedsmokorset,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2022 Gjerdrum, Norway",60.0787767,11.020612257865926,"2022 Gjerdrum, Norway",,,,,2022,Akershus,,Gjerdrum,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2033 Åsgreina, Norway",60.1709688,10.9910233,"2033 Åsgreina (Åsgreina), Norway",,Åsgreina,,,2033,Akershus,,Åsgreina,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2045 Leirsund, Norway",59.9999567,11.0870456,"Leirsund, Sundstuveien, 2015 Leirsund, Norway",,Leirsund,Sundstuveien,Søndre Ullreng,2015,Akershus,Kjusløkka,Leirsund,Viken,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2060 Gardermoen, Norway",60.1931149,11.0616782,"2060 Garder (Garder), Norway",,Garder,,,2060,Akershus,,Garder,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2070 Råholt, Norway",60.2838578,11.1728733,"2070 Råholt, Norway",,Råholt,,,2070,Akershus,,Råholt,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2073 Bøn, Norway",60.2912103,11.1983858,"Bøn, 2073 Råholt, Norway",,Bøn,,Bøn,2073,Akershus,,Råholt,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2080 Eidsvoll postkontor, Norway",60.32962210063445,11.264865374328942,"2080 Eidsvoll, Norway",,Eidsvoll,,,2080,Akershus,,Eidsvoll,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2080 Eidsvoll, Norway",60.329622101,11.264865374,"2080 Eidsvoll, Norway",,,,,2080,Akershus,,Eidsvoll,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2092 Minnesund, Norway",60.3915023,11.2133326,"2092 Minnesund (Minnesund), Norway",,Minnesund,,,2092,Akershus,,Minnesund,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2100 Skarnes, Norway",60.2539143,11.6848561,"2100 Skarnes (Skarnes), Norway",,Skarnes,,,2100,Innlandet,,Skarnes,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2110 Slåstad, Norway",60.2796599,11.7702139,"Slåstad, 2110 Sør-Odal, Norway",,Slåstad,,Slåstad,2110,Innlandet,,Sør-Odal,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2150 Årnes, Norway",60.122332,11.4701491,"2150 Årnes (Årnes), Norway",,Årnes,,,2150,Akershus,,Årnes,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2180 Haga, Norway",59.805076,5.522666,"Haga, 5416 Rommetveit, Norway",,Haga,Haga,,5416,Vestland,,Rommetveit,,,Norway,no,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2182 Horten, Norway",59.4101728,10.443739186052063,"Horten, Norway",,,,,,Vestfold,,Horten,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2200 Kongsvinger, Norway",60.1899109,12.216023065279844,"Kongsvinger, Norway",,,,,,Innlandet,,Kongsvinger,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2224 Austmarka, Norway",60.1003757,12.3212407,"2224 Austmarka (Austmarka), Norway",,Austmarka,,,2224,Innlandet,,Austmarka,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2232 Tobøl, Stangnes, Norway",59.9720213,12.0554606,"2232 Tobøl (Tobøl), Norway",,Tobøl,,,2232,Innlandet,,Tobøl,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2260 Kirkenær, Norway",60.4563525,12.058381,"2260 Kirkenær (Kirkenær), Norway",,Kirkenær,,,2260,Innlandet,,Kirkenær,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2270 Flisa, Norway",60.6131745,12.0108926,"2270 Flisa (Flisa), Norway",,Flisa,,,2270,Innlandet,,Flisa,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2300 Hamar, Norway",61.0014937,11.16479641006573,"Hamar, Norway",,,,,,Innlandet,,Hamar,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2350 Nes, Norway",60.762299,10.9416396,"2350 Tingnes (Tingnes), Norway",,Tingnes,,,2350,Innlandet,,Tingnes,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2355 Gaupen, Norway",60.8685523,10.7771443,"2355 Gaupen (Gaupen), Norway",,Gaupen,,,2355,Innlandet,,Gaupen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2380 Brumunddal, Norway",60.873736185,10.95085105,"2380 Brumunddal, Norway",,,,,2380,Innlandet,,Brumunddal,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2390 Moelv, Norway",60.9297779,10.7000422,"2390 Moelv, Norway",,Moelv,,,2390,Innlandet,,Moelv,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2414 Kjernmoen, Norway",60.872117517777774,11.574846738148148,"2414 Elverum, Norway",,Elverum,,,2414,Innlandet,,Elverum,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2427 Plassen, Norway",61.1344412,12.5017141,"Plassen (Plassen), Norway",,Plassen,,,,Innlandet,,Plassen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2432 Slettås, Norway",61.372157,11.9536162,"2432 Slettås (Slettås), Norway",,Slettås,,,2432,Innlandet,,Slettås,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2445 Femundsenden, Norway",61.9235966,11.9168832,"Femundsenden (Femundsenden), Norway",,Femundsenden,,,,Innlandet,,Femundsenden,,,Norway,no,0.8260869565217391,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2480 Koppang, Norway",61.5710031,11.0499925,"Koppang (Koppang), Norway",,Koppang,,,,Innlandet,,Koppang,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2483 Rendalen, Norway",61.8918093,11.0777424,"Bergset (Bergset), Norway",,Bergset,,,,Innlandet,,Bergset,,,Norway,no,0.7894736842105263,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2500 Tynset, Norway",62.294958942,10.714241635,"2500 Tynset, Norway",,,,,2500,Innlandet,,Tynset,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2544 Øversjødalen, Norway",62.2085749,11.4819772,"Øversjødalen, 2544 Tolga, Norway",,Øversjødalen,,Øversjødalen,2544,Innlandet,,Tolga,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2592 Kvikne, Norway",61.5745535,9.5855817,"Kvikne, Nord-Fron, Norway",,Kvikne,,Kvikne,,Innlandet,,Nord-Fron,,,Norway,no,0.7647058823529411,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2600 Lillehammer, Norway",61.1333408,10.426585544131413,"Lillehammer, Norway",,,,,,Innlandet,,Lillehammer,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2616 Lismarka, Norway",61.0712603,10.6239399,"2616 Lismarka (Lismarka), Norway",,Lismarka,,,2616,Innlandet,,Lismarka,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2625 Olstad, Norway",58.8187089,8.5325871,"Olstad, 4865 Åmli, Norway",,Olstad,Olstad,Olstad,4865,Agder,,Åmli,,,Norway,no,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2632 Venabygd, Norway",61.638087995,10.078305526,"2632 Ringebu, Norway",,,,,2632,Innlandet,,Ringebu,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2634 Fåvang, Norway",61.4554298,10.1947546,"2634 Fåvang (Fåvang), Norway",,Fåvang,,,2634,Innlandet,,Fåvang,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2638 Fåberg, Norway",61.6716408,7.3269297,"Fåberg (Fåberg), Norway",,Fåberg,,,,Vestland,,Fåberg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2640 Vinstra, Norway",61.5964906,9.7361913,"2640 Vinstra, Norway",,Vinstra,,,2640,Innlandet,,Vinstra,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2643 Skåbu, Norway",61.5255674,9.4093793,"Skåbu (Skåbu), Norway",,Skåbu,,,,Innlandet,,Skåbu,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2645 Harpefoss, Norway",61.5773469,9.861588,"Harpefoss (Harpefoss), Norway",,Harpefoss,,,,Innlandet,,Harpefoss,,,Norway,no,0.8,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2647 Hundorp, Norway",61.5552602,9.9403522,"2647 Hundorp (Hundorp), Norway",,Hundorp,,,2647,Innlandet,,Hundorp,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2647 Hundtorp, Norway",61.538892673807034,9.930952479310344,"2647 Sør-Fron, Norway",,Sør-Fron,,,2647,Innlandet,,Sør-Fron,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2650 Kvam, Norway",61.6649478,9.6877468,"Kvam (Kvam), Norway",,Kvam,,,,Innlandet,,Kvam,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2670 Otta, Norway",61.7712448,9.5352541,"2670 Otta, Norway",,Otta,,,2670,Innlandet,,Otta,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2679 Høvringen, Norway",61.8926532,9.4784412,"Høvringen, 2673 Olstadsætre, Norway",,Høvringen,,Høvringen,2673,Innlandet,,Olstadsætre,,,Norway,no,0.3,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2687 Bøverdalen, Norway",61.69410331606648,8.24894607229917,"2687 Lom, Norway",,Lom,,,2687,Innlandet,,Lom,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2700 Jevnaker, Norway",61.3931963,12.173751,"Jevnaker, Trysil, Norway",,Jevnaker,,Jevnaker,,Innlandet,,Trysil,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2730 Lunner, Norway",60.30180928,10.570265529,"2730 Lunner, Norway",,,,,2730,Akershus,,Lunner,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2750 Gran, Norway",60.3591267,10.5728398,"2750 Gran, Norway",,Gran,,,2750,Innlandet,,Gran,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2760 Brandbu, Norway",60.4207532,10.5070018,"2760 Brandbu (Brandbu), Norway",,Brandbu,,,2760,Innlandet,,Brandbu,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2770 Jaren, Norway",60.3925694,10.5617639,"2770 Jaren (Jaren), Norway",,Jaren,,,2770,Innlandet,,Jaren,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2800 Gjøvik, Norway",60.87216165,10.503886379493999,"Gjøvik, Norway",,,,,,Innlandet,,Gjøvik,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2814 Landåsbygda, Norway",60.83345,10.29602,"Landåsbygda, 2861 Landåsbygda, Norway",,Landåsbygda,,,2861,,,Landåsbygda,Innlandet,,Norway,no,1,1,,CC BY 4.0,https://www.geonames.org/datasources/
"2829 Ø. Snertingdal, Norway",60.872162,10.448622,"Gjovik (Snertingdal), Innlandet, Norway",,,,,,,Gjovik,Snertingdal,Innlandet,,Norway,no,0.25,1,,,https://www.whosonfirst.org/docs/licenses/
"2830 Raufoss, Norway",60.7260799,10.6133236,"2830 Raufoss, Norway",,Raufoss,,,2830,Innlandet,,Raufoss,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2834 Nygard, Norway",60.732365651,10.634746578,"2834 Vestre Toten, Norway",,,,,2834,Innlandet,,Vestre Toten,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2843 Eina, Norway",60.6286731,10.5987753,"2843 Eina (Eina), Norway",,Eina,,,2843,Innlandet,,Eina,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2850 Lena, Norway",60.6739717,10.8134458,"2850 Lena (Lena), Norway",,Lena,,,2850,Innlandet,,Lena,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2858 Kapp, Norway",60.7143314,10.8578361,"2849 Kapp (Kapp), Norway",,Kapp,,,2849,Innlandet,,Kapp,,,Norway,no,0.3,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2864 Fall, Norway",60.6717528,10.3634556,"2864 Fall (Fall), Norway",,Fall,,,2864,Innlandet,,Fall,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3022 Drammen, Norway",59.755354044,10.163976379,"3022 Drammen, Norway",,,,,3022,Buskerud,Bragernes,Drammen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3033 Drammen, Norway",59.718911203,10.159589948,"3033 Drammen, Norway",,,,,3033,Buskerud,Konnerud,Drammen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3060 Svelvik, Norway",59.629158454,10.388141477,"3060 Drammen, Norway",,,,,3060,Buskerud,Svelvik,Drammen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3070 Sande, Norway",59.5872896,10.2075012,"3070 Sande (Sande), Norway",,Sande,,,3070,Vestfold,,Sande,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3080 Holmestrand, Norway",59.4899583,10.3150445,"3080 Holmestrand, Norway",,Holmestrand,,,3080,Vestfold,,Holmestrand,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3100 Tønsberg, Norway",59.3549795,10.282049110877239,"Tønsberg, Norway",,,,,,Vestfold,,Tønsberg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3109 Lofts-Eik, Norway",59.289262,10.417873,"Lofts-Eik post i butikk, Veslemøys vei, 3122 Tønsberg, Norway",,Lofts-Eik post i butikk,Veslemøys vei,Eik,3122,Vestfold,Faerder,Tønsberg,Vestfold og Telemark,,Norway,no,0.7290000000000001,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3109 LoftsEik, Tønsberg, Norway",59.30183625,10.427834440304231,"Loftseik, Lofseik, Tønsberg, Vestfold, Norway",,Loftseik,,Lofseik,,Vestfold,,Tønsberg,,1,Norway,no,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3110 Tønsberg, Norway",59.267472727,10.412249915,"3110 Tønsberg, Norway",,,,,3110,Vestfold,,Tønsberg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3120 Andebu, Høyjord, Norway",59.2465859043346,10.421272417338402,"3120 Færder, Norway",,Færder,,,3120,Vestfold,,Færder,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3140 Borgheim, Nøtterøy, Norway",59.2262739,10.407459,"Borgheim, 3140 Tandstad, Norway",,Borgheim,,Borgheim,3140,Vestfold,,Tandstad,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3155 Åsgårdstrand, Norway",59.3562258,10.4597499,"Åsgårdstrand, Palettveien, 3179 Åsgårdstrand, Norway",,Åsgårdstrand,Palettveien,,3179,Vestfold,Damåsen,Åsgårdstrand,Vestfold og Telemark,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3174 Revetal, Norway",59.3723954,10.2631011,"3174 Revetal (Revetal), Norway",,Revetal,,,3174,Vestfold,,Revetal,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3182 Horten, Norway",59.411457157,10.473559184,"3182 Horten, Norway",,,,,3182,Vestfold,,Horten,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3250 Larvik, Norway",59.0967308,10.021929959972812,"Larvik, Norway",,,,,,Vestfold,,Larvik,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3268 Larvik, Norway",59.071078505,9.964799379,"3268 Larvik, Norway",,,,,3268,Vestfold,,Larvik,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3275 Svarstad, Norway",59.401584,9.9614111,"3275 Svarstad (Svarstad), Norway",,Svarstad,,,3275,Vestfold,,Svarstad,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3290 Stavern, Norway",58.9983397,10.0360061,"3290 Stavern, Norway",,Stavern,,,3290,Vestfold,,Stavern,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3371 Vikersund, Norway",59.9660881,9.994865,"3370 Vikersund, Norway",,Vikersund,,,3370,Buskerud,,Vikersund,,,Norway,no,0.3,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3410 Sylling, Norway",59.8944404,10.2841004,"3410 Sylling (Sylling), Norway",,Sylling,,,3410,Buskerud,,Sylling,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3440 Røyken, Norway",59.7467876,10.3937509,"3440 Røyken (Røyken), Norway",,Røyken,,,3440,Akershus,,Røyken,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3500 Hønefoss, Norway",59.715626,7.5764981,"Hønefoss, Norway",,Hønefoss,,,,Telemark,,Hønefoss,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3524 Nes i Ådal, Norway",60.563537,9.9878897,"3524 Nes (Nes), Norway",,Nes,,,3524,Buskerud,,Nes,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3570 Ål, Norway",60.65732695,8.485738472,"3570 Ål, Norway",,,,,3570,Buskerud,,Ål,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
